id_usuario_x_identificador;fecha_alta;id_identificador;id_usuario;id_usuario_alta
2511116;2025-06-04 16:26:50,000;1225179;39930;39932
2511117;2025-06-04 16:26:50,000;1225180;39930;39932
2511118;2025-06-04 16:26:50,000;1225181;39930;39932
2511119;2025-06-04 16:26:50,000;1225182;39930;39932
2511120;2025-06-04 16:26:50,000;1225183;39930;39932
2511121;2025-06-04 16:26:50,000;1225184;39930;39932
2511122;2025-06-04 16:26:50,000;1225185;39930;39932
2511123;2025-06-04 16:26:50,000;1225186;39930;39932
2511124;2025-06-04 16:26:50,000;1225187;39930;39932
2511125;2025-06-04 16:26:50,000;1225188;39930;39932
2511126;2025-06-04 16:26:50,000;1225189;39930;39932
2511127;2025-06-04 16:26:50,000;1225190;39930;39932
2511128;2025-06-04 16:26:50,000;1225191;39930;39932
2511129;2025-06-04 16:26:50,000;1225192;39930;39932
2511130;2025-06-04 16:26:50,000;1225193;39930;39932
2511131;2025-06-04 16:26:50,000;1225194;39930;39932
2511132;2025-06-04 16:26:50,000;1225195;39930;39932
2511133;2025-06-04 16:26:50,000;1225196;39930;39932
2511134;2025-06-04 16:26:50,000;1225197;39930;39932
2511135;2025-06-04 16:26:50,000;1225198;39930;39932
2511136;2025-06-04 16:26:50,000;1225199;39930;39932
2511137;2025-06-04 16:26:50,000;1225200;39930;39932
2511138;2025-06-04 16:26:50,000;1225201;39930;39932
2511139;2025-06-04 16:26:50,000;1225202;39930;39932
2511140;2025-06-04 16:26:50,000;1225203;39930;39932
2511141;2025-06-04 16:26:50,000;1225204;39930;39932
2511142;2025-06-04 16:26:50,000;1225205;39930;39932
2511143;2025-06-04 16:26:50,000;1225206;39930;39932
2511144;2025-06-04 16:26:50,000;1225207;39930;39932
2511145;2025-06-04 16:26:50,000;1225208;39930;39932
2511146;2025-06-04 16:26:50,000;1225209;39930;39932
2511147;2025-06-04 16:26:50,000;1225210;39930;39932
2511148;2025-06-04 16:26:50,000;1225211;39930;39932
2511149;2025-06-04 16:26:50,000;1225212;39930;39932
2511150;2025-06-04 16:26:50,000;1225213;39930;39932
2511151;2025-06-04 16:26:50,000;1225214;39930;39932
2511152;2025-06-04 16:26:50,000;1225215;39930;39932
2511153;2025-06-04 16:26:50,000;1225216;39930;39932
2511154;2025-06-04 16:26:50,000;1225217;39930;39932
2511155;2025-06-04 16:26:50,000;1225218;39930;39932
2511156;2025-06-04 16:26:50,000;1225219;39930;39932
2511157;2025-06-04 16:26:50,000;1225220;39930;39932
2511158;2025-06-04 16:26:50,000;1225221;39930;39932
2511159;2025-06-04 16:26:50,000;1225222;39930;39932
2511160;2025-06-04 16:26:50,000;1225223;39930;39932
2511161;2025-06-04 16:26:50,000;1225224;39930;39932
2511162;2025-06-04 16:26:50,000;1225225;39930;39932
2511163;2025-06-04 16:26:50,000;1225226;39930;39932
2511164;2025-06-04 16:26:50,000;1225227;39930;39932
2511165;2025-06-04 16:26:50,000;1225228;39930;39932
2511166;2025-06-04 16:26:50,000;1225229;39930;39932
2511167;2025-06-04 16:26:50,000;1225230;39930;39932
2511168;2025-06-04 16:26:50,000;1225231;39930;39932
2511169;2025-06-04 16:26:50,000;1225232;39930;39932
2511170;2025-06-04 16:26:50,000;1225233;39930;39932
2511171;2025-06-04 16:26:50,000;1225234;39930;39932
2511172;2025-06-04 16:26:50,000;1225235;39930;39932
2511173;2025-06-04 16:26:50,000;1225236;39930;39932
2511174;2025-06-04 16:26:50,000;1225237;39930;39932
2511175;2025-06-04 16:26:50,000;1225238;39930;39932
2511176;2025-06-04 16:26:50,000;1225239;39930;39932
2511177;2025-06-04 16:26:50,000;1225240;39930;39932
2511178;2025-06-04 16:26:50,000;1225241;39930;39932
2511179;2025-06-04 16:26:50,000;1225242;39930;39932
2511180;2025-06-04 16:26:50,000;1225243;39930;39932
2511181;2025-06-04 16:26:50,000;1225244;39930;39932
2511182;2025-06-04 16:26:50,000;1225245;39930;39932
2511183;2025-06-04 16:26:50,000;1225246;39930;39932
2511184;2025-06-04 16:26:50,000;1225247;39930;39932
2511185;2025-06-04 16:26:50,000;1225248;39930;39932
2511186;2025-06-04 16:26:50,000;1225249;39930;39932
2511187;2025-06-04 16:26:50,000;1225250;39930;39932
2511188;2025-06-04 16:26:50,000;1225251;39930;39932
