id_usuario_x_tipo_incidente;id_tipo_incidente;id_usuario;movil;web
3594085;21887;34839;1;1
3594086;21888;34839;1;1
3594087;21889;34839;1;1
3594088;21890;34839;1;1
3594089;21891;34839;1;1
3594090;21892;34839;1;1
3594091;21893;34839;1;1
3594092;21894;34839;1;1
3594093;21895;34839;1;1
3594094;21896;34839;1;1
3594095;21899;34839;1;1
3594096;21903;34839;1;1
3594097;21905;34839;1;1
3594098;21906;34839;1;1
3594099;21907;34839;1;1
3594100;21909;34839;1;1
3594101;21912;34839;1;1
3594102;21913;34839;1;1
3594103;21914;34839;1;1
3594104;21915;34839;1;1
3594105;21916;34839;1;1
3594106;21917;34839;1;1
3594107;21918;34839;1;1
3594108;21919;34839;1;1
3594109;21920;34839;1;1
3594110;21922;34839;1;1
3594111;21923;34839;1;1
3594112;21924;34839;1;1
3594113;21925;34839;1;1
3594114;21926;34839;1;1
3594115;21927;34839;1;1
3594116;21928;34839;1;1
3594117;21929;34839;1;1
3594118;21930;34839;1;1
3594119;21931;34839;1;1
3594120;21932;34839;1;1
3594121;21933;34839;1;1
3594122;21934;34839;1;1
3594123;21935;34839;1;1
3594124;21936;34839;1;1
3594125;21937;34839;1;1
3594126;21938;34839;1;1
3594127;21939;34839;1;1
3594128;21940;34839;1;1
3594129;21941;34839;1;1
3594130;21942;34839;1;1
3594131;21943;34839;1;1
3594132;21944;34839;1;1
3594133;21945;34839;1;1
3594134;21946;34839;1;1
3594135;21947;34839;1;1
3594136;21948;34839;1;1
3594137;21949;34839;1;1
3594138;21950;34839;1;1
3594139;21951;34839;1;1
3594140;21952;34839;1;1
3594141;21953;34839;1;1
3594142;21954;34839;1;1
3594143;21960;34839;1;1
3594144;21963;34839;1;1
3594145;21965;34839;1;1
3594146;21966;34839;1;1
3594147;21967;34839;1;1
3594148;21968;34839;1;1
3594149;21969;34839;1;1
3594150;21971;34839;1;1
3594151;21972;34839;1;1
3594152;21973;34839;1;1
3594153;21974;34839;1;1
3594154;21975;34839;1;1
3594155;21976;34839;1;1
3594156;21977;34839;1;1
3594157;21978;34839;1;1
3594158;21979;34839;1;1
3594159;21981;34839;1;1
3594160;21982;34839;1;1
3594161;21983;34839;1;1
3594162;21984;34839;1;1
3594163;21989;34839;1;1
3594164;21994;34839;1;1
3594165;21995;34839;1;1
3594166;21996;34839;1;1
3594167;21997;34839;1;1
3594168;21998;34839;1;1
3594169;21999;34839;1;1
3594170;22000;34839;1;1
3594171;22001;34839;1;1
3594172;22002;34839;1;1
3594173;22003;34839;1;1
3594174;22004;34839;1;1
3594175;22005;34839;1;1
3594176;22006;34839;1;1
3594177;22008;34839;1;1
3594178;22010;34839;1;1
3594179;22011;34839;1;1
3594180;22012;34839;1;1
3594181;22013;34839;1;1
3594182;22014;34839;1;1
3594183;22015;34839;1;1
3594184;22016;34839;1;1
3594185;22017;34839;1;1
3594186;22018;34839;1;1
3594187;22019;34839;1;1
3594188;22020;34839;1;1
3594189;22022;34839;1;1
3594190;22023;34839;1;1
3594191;22024;34839;1;1
3594192;22026;34839;1;1
3594193;22027;34839;1;1
3594194;22029;34839;1;1
3594195;22030;34839;1;1
3594196;22031;34839;1;1
3594197;22033;34839;1;1
3594198;22034;34839;1;1
3594199;22035;34839;1;1
3594200;22037;34839;1;1
3594201;22038;34839;1;1
3594202;22039;34839;1;1
3594203;22040;34839;1;1
3594204;22041;34839;1;1
3594205;22042;34839;1;1
3594206;22043;34839;1;1
3594207;22044;34839;1;1
3594208;22045;34839;1;1
3594209;22046;34839;1;1
3594210;22047;34839;1;1
3594211;22048;34839;1;1
3594212;22049;34839;1;1
3594213;22050;34839;1;1
3594214;22051;34839;1;1
3594215;22052;34839;1;1
3594216;22056;34839;1;1
3594217;22057;34839;1;1
3594218;22058;34839;1;1
3594219;22059;34839;1;1
3594220;22060;34839;1;1
3594221;22068;34839;1;1
3594222;22069;34839;1;1
3594223;22070;34839;1;1
3594224;22071;34839;1;1
3594225;22073;34839;1;1
3594226;22075;34839;1;1
3594227;22077;34839;1;1
3594228;22078;34839;1;1
3594229;22079;34839;1;1
3594230;22081;34839;1;1
3594231;22083;34839;1;1
3594232;22085;34839;1;1
3594233;22086;34839;1;1
3594234;22087;34839;1;1
3594235;22089;34839;1;1
3594236;22091;34839;1;1
3594237;22093;34839;1;1
3594238;22094;34839;1;1
3594239;22095;34839;1;1
3594240;22096;34839;1;1
3594241;22100;34839;1;1
3594242;22101;34839;1;1
3594243;22102;34839;1;1
3594244;22360;34839;1;1
