id_ubicacionxbarrio;latitud;longitud;id_barrio
700634;-34,5006369889999;-58,477090172;14086
700635;-34,5007619099999;-58,477066378;14086
700636;-34,500922524;-58,477042583;14086
700637;-34,5010890849999;-58,4770366339999;14086
700638;-34,5012437509999;-58,477030686;14086
700639;-34,501374622;-58,4770366339999;14086
700640;-34,501440057;-58,4769949939999;14086
700641;-34,501493594;-58,476935506;14086
700642;-34,501582825;-58,476905764;14086
700643;-34,501683952;-58,476881969;14086
700644;-34,5017434379999;-58,476876021;14086
700645;-34,501832667;-58,4768462769999;14086
700646;-34,50195759;-58,476816534;14086
700647;-34,502124152;-58,476780842;14086
700648;-34,502249073;-58,4767629959999;14086
700649;-34,5023204569999;-58,4767451499999;14086
700650;-34,502433482;-58,476709458;14086
700651;-34,502588147;-58,476673767;14086
700652;-34,502724966;-58,4766440229999;14086
700653;-34,5027963489999;-58,476608331;14086
700654;-34,5028617849999;-58,476566691;14086
700655;-34,502909374;-58,4765785879999;14086
700656;-34,5029867059999;-58,476608331;14086
700657;-34,503040244;-58,476655921;14086
700658;-34,5030771910333;-58,4767450691674;14086
700659;-34,503248447;-58,4766618689999;14086
700660;-34,5032516585128;-58,4765082918738;14086
700661;-34,5033638161782;-58,4764659212003;14086
700662;-34,5034447529999;-58,476584537;14086
700663;-34,503492342;-58,476649972;14086
700664;-34,503533982;-58,476655921;14086
700665;-34,5036053659999;-58,476626177;14086
700666;-34,5037302869999;-58,4765785879999;14086
700667;-34,503807621;-58,476548845;14086
700668;-34,5038373629999;-58,476530999;14086
700669;-34,5039206449999;-58,476376334;14086
700670;-34,5039420512531;-58,4761892656256;14086
700671;-34,503994391497;-58,4761493873446;14086
700672;-34,5040455659999;-58,4761026959999;14086
700673;-34,504057463;-58,476007517;14086
700674;-34,504051514;-58,475846904;14086
700675;-34,504033669;-58,475751725;14086
700676;-34,5040217719999;-58,4756268039999;14086
700677;-34,5039744523565;-58,475506350063;14086
700678;-34,5028229669918;-58,4737523287959;14086
700679;-34,5025612657725;-58,4738644864613;14086
700680;-34,5025288646692;-58,4737946994695;14086
700681;-34,5028678300579;-58,4736576178785;14086
700682;-34,5040277209999;-58,475489985;14086
700683;-34,504081259;-58,475406704;14086
700684;-34,50415859;-58,475317474;14086
700685;-34,504301359;-58,4752282439999;14086
700686;-34,504456024;-58,475133066;14086
700687;-34,5049378649999;-58,474859427;14086
700688;-34,505110375;-58,474746403;14086
700689;-34,5053126299999;-58,4746512249999;14086
700690;-34,505428627;-58,474833253;14086
700691;-34,5055809139999;-58,475109271;14086
700692;-34,50572491;-58,475193974;14086
700693;-34,5057427159999;-58,4752044489999;14086
700694;-34,50595211;-58,475309146;14086
700695;-34,506142467;-58,4753948059999;14086
700696;-34,506323305;-58,47542336;14086
700697;-34,506419079;-58,475388858;14086
700698;-34,506502359;-58,475442394;14086
700699;-34,5065182872408;-58,4754600922096;14086
700700;-34,5057239305255;-58,4738281801731;14086
700701;-34,5056378001122;-58,4738193971324;14086
700702;-34,5055976230139;-58,4738208695914;14086
700703;-34,5055979306858;-58,4738153314977;14086
700704;-34,5055108530727;-58,4738064518674;14086
700705;-34,5054954639332;-58,4738048825827;14086
700706;-34,505509817572;-58,473795325094;14086
700707;-34,5056625346175;-58,4736936369477;14086
700708;-34,5056891422405;-58,473724710368;14086
700709;-34,5057320877191;-58,4737748639079;14086
700710;-34,5057440510771;-58,473774760329;14086
700711;-34,50576130644;-58,4738089867616;14086
700712;-34,5058179931652;-58,4738751879084;14086
700713;-34,5060403699343;-58,4743625159992;14086
700714;-34,506613896082;-58,4755001190816;14086
700715;-34,5066629739999;-58,4755613679999;14086
700716;-34,506775998;-58,475549471;14086
700717;-34,50690092;-58,475525677;14086
700718;-34,5073404285144;-58,4752857733211;14086
700719;-34,507394658;-58,4752520389999;14086
700720;-34,5074353529999;-58,4751939029999;14086
700721;-34,507477939;-58,475133066;14086
700722;-34,5075374259999;-58,4750438359999;14086
700723;-34,507632604;-58,4749129639999;14086
700724;-34,5077039879999;-58,474782095;14086
700725;-34,5077634749999;-58,4746036349999;14086
700726;-34,507817012;-58,47449061;14086
700727;-34,507864602;-58,474365689;14086
700728;-34,507888395;-58,4743359459999;14086
700729;-34,5079062419999;-58,474288357;14086
700730;-34,507995471;-58,474216973;14086
700731;-34,508060907;-58,474121795;14086
700732;-34,5081382399999;-58,474080154;14086
700733;-34,508465416;-58,473980217;14086
700734;-34,508643875;-58,47396594;14086
700735;-34,508786643;-58,473958801;14086
700736;-34,508929409;-58,4739231089999;14086
700737;-34,509029347;-58,4739231089999;14086
700738;-34,509129284;-58,47396594;14086
700739;-34,5092220839999;-58,4741729529999;14086
700740;-34,509279191;-58,474337136;14086
700741;-34,50937199;-58,474594118;14086
700742;-34,509375715;-58,4746021;14086
700743;-34,509421959;-58,474701193;14086
700744;-34,509479066;-58,4747583;14086
700745;-34,5095504499999;-58,473616159;14086
700746;-34,5095504499999;-58,4734162839999;14086
700747;-34,5095932799999;-58,4732877929999;14086
700748;-34,509664663;-58,473187856;14086
700749;-34,5098431219999;-58,473109334;14086
700750;-34,509914507;-58,472959428;14086
700751;-34,5098288459999;-58,4729094589999;14086
700752;-34,509736048;-58,4728880439999;14086
700753;-34,509671801;-58,472873767;14086
700754;-34,509650387;-58,472823799;14086
700755;-34,509621833;-58,472709584;14086
700756;-34,509621833;-58,47259537;14086
700757;-34,50963611;-58,4724097719999;14086
700758;-34,509736048;-58,47228842;14086
700759;-34,5098074319999;-58,472209898;14086
700760;-34,509786015;-58,472102822;14086
700761;-34,5098288459999;-58,471945777;14086
700762;-34,509900231;-58,4718601169999;14086
700763;-34,5100595329999;-58,4717751549999;14086
700764;-34,510114382;-58,4717459029999;14086
700765;-34,510257149;-58,471674519;14086
700766;-34,5103499489999;-58,4716316889999;14086
700767;-34,510407056;-58,471567443;14086
700768;-34,5104427479999;-58,471531751;14086
700769;-34,510542685;-58,4714817829999;14086
700770;-34,5106427910955;-58,4714417400008;14086
700771;-34,51087301539;-58,4712372412141;14086
700772;-34,51091388;-58,4711248629999;14086
700773;-34,5110346389999;-58,471035634;14086
700774;-34,5111774059999;-58,4708643119999;14086
700775;-34,511222345;-58,470800648;14086
700776;-34,51129162;-58,470702509;14086
700777;-34,511376083;-58,470596056;14086
700778;-34,511377876;-58,4705894849999;14086
700779;-34,51144212;-58,4704752709999;14086
700780;-34,5114678037095;-58,4704581489267;14086
700781;-34,511479407866;-58,4708069328911;14086
700782;-34,5121589127833;-58,4713412619031;14086
700783;-34,512297948052;-58,4718846420577;14086
700784;-34,5123424358581;-58,4719316100388;14086
700785;-34,5129081009366;-58,4736585051696;14086
700786;-34,5122628219671;-58,4739533799204;14086
700787;-34,5123658228484;-58,4742618295557;14086
700788;-34,5127552433879;-58,4751312740847;14086
700789;-34,5133747632341;-58,4763830899195;14086
700790;-34,5138950141626;-58,4774601996085;14086
700791;-34,5140316730021;-58,4777431333854;14086
700792;-34,5140501027585;-58,4777754649004;14086
700793;-34,5148547035903;-58,4794159609397;14086
700794;-34,5156779828141;-58,4811105953459;14086
700795;-34,5162979845308;-58,4824060478024;14086
700796;-34,5171209533447;-58,4840789681509;14086
700797;-34,5179071795448;-58,4856981393454;14086
700798;-34,5182216642094;-58,4863458164971;14086
700799;-34,5183832086199;-58,4866532448423;14086
700800;-34,518489335136;-58,4868527813647;14086
700801;-34,5187661502589;-58,4873704737238;14086
700802;-34,5195983340977;-58,489065105679;14086
700803;-34,5204022500193;-58,490662273507;14086
700804;-34,5211972687732;-58,4922705224028;14086
700805;-34,5220757865189;-58,4940733187147;14086
700806;-34,5227598081877;-58,4954549366478;14086
700807;-34,5234626416624;-58,496901580363;14086
700808;-34,524174469969;-58,4983480870539;14086
700809;-34,5248491658948;-58,4997081614918;14086
700810;-34,5258479323455;-58,5017703333248;14086
700811;-34,5264768668716;-58,5030768288616;14086
700812;-34,5272168587947;-58,5046209534162;14086
700813;-34,5281596119511;-58,5065317716573;14086
700814;-34,5281964331887;-58,5066456128752;14086
700815;-34,5276031501783;-58,5070648193082;14086
700816;-34,5270080575912;-58,5074768063751;14086
700817;-34,5264244092615;-58,5078811646097;14086
700818;-34,5258522043624;-58,5082778932715;14086
700819;-34,5252075206646;-58,5087394717738;14086
700820;-34,5246009835346;-58,5091896056567;14086
700821;-34,5240135197901;-58,5096282958474;14086
700822;-34,5238227854714;-58,5097694396132;14086
700823;-34,5233230595806;-58,5101394654856;14086
700824;-34,5226173411484;-58,5106773371791;14086
700825;-34,5219841016282;-58,5111885066043;14086
700826;-34,5219650278255;-58,5117645260064;14086
700827;-34,5217742933132;-58,5119171143404;14086
700828;-34,5208702096138;-58,512722015548;14086
700829;-34,5200004584641;-58,5135688779579;14086
700830;-34,5188140875859;-58,5147552486491;14086
700831;-34,5187046796727;-58,5152501310916;14086
700832;-34,5183670448574;-58,5155976129991;14086
700833;-34,5177955631897;-58,5161857607366;14086
700834;-34,5173849791514;-58,516621435927;14086
700835;-34,5170320283818;-58,5169959562751;14086
700836;-34,5168776198337;-58,5171598013257;14086
700837;-34,5161170970635;-58,5176162720415;14086
700838;-34,5154647836562;-58,5183448794953;14086
700839;-34,5150679796776;-58,5192143761225;14086
700840;-34,5143966682345;-58,5197105408255;14086
700841;-34,5140419019089;-58,520111083704;14086
700842;-34,5137557992216;-58,5206184388385;14086
700843;-34,5136871347487;-58,5209922788233;14086
700844;-34,5133209234717;-58,5214614868044;14086
700845;-34,5129887377728;-58,5218721368776;14086
700846;-34,5126953136852;-58,5222625733605;14086
700847;-34,5120544442535;-58,5225181580848;14086
700848;-34,5117950449468;-58,5228691102197;14086
700849;-34,5114326481776;-58,5231246949814;14086
700850;-34,5111351018639;-58,5234489436966;14086
700851;-34,5106239325061;-58,5244255069402;14086
700852;-34,5101782875492;-58,5250191107833;14086
700853;-34,5100012742839;-58,5246367250612;14086
700854;-34,5095473437286;-58,5236212152134;14086
700855;-34,509149185907;-58,5227462807516;14086
700856;-34,5084548786156;-58,5212341764719;14086
700857;-34,508084002543;-58,5203805591179;14086
700858;-34,5074541994932;-58,5189871221067;14086
700859;-34,5069816719795;-58,5179284512176;14086
700860;-34,5066388652831;-58,5171614707272;14086
700861;-34,5060831027311;-58,5159300888479;14086
700862;-34,5056379810961;-58,5149036302798;14086
700863;-34,5049898294617;-58,513488826002;14086
700864;-34,5044806794166;-58,5123873175997;14086
700865;-34,5036192628769;-58,5104864028177;14086
700866;-34,5025729356574;-58,5082077595931;14086
700867;-34,5016929006571;-58,5062637144605;14086
700868;-34,5004706127708;-58,5036072691792;14086
700869;-34,4996184757167;-58,5017390322852;14086
700870;-34,4985351422444;-58,4993959503091;14086
700871;-34,4978218625714;-58,4978301401931;14086
700872;-34,4977196579091;-58,4975815765557;14086
700873;-34,4988392606776;-58,49700625143;14086
700874;-34,4994033656191;-58,4967021750561;14086
700875;-34,500030415778;-58,496386076926;14086
700876;-34,5009621117179;-58,4959229673065;14086
700877;-34,501732672128;-58,4955498415524;14086
700878;-34,5025299972361;-58,4951544526801;14086
700879;-34,50263732985;-58,4950871985679;14086
700880;-34,5034881851321;-58,4946472878651;14086
700881;-34,5043925702889;-58,4941628542642;14086
700882;-34,5045270707373;-58,4941059962938;14086
700883;-34,5053329988225;-58,4936777612708;14086
700884;-34,5063090678278;-58,4931593516129;14086
700885;-34,5062255476714;-58,4929648723122;14086
700886;-34,5059572312731;-58,4924035323412;14086
700887;-34,504706398913;-58,4896496880507;14086
700888;-34,5046505806197;-58,4895091547678;14086
700889;-34,5029552674345;-58,4858053321841;14086
700890;-34,502473581957;-58,4847579636548;14086
700891;-34,5022243941884;-58,4842056038138;14086
700892;-34,5017135726204;-58,4830732957489;14086
700893;-34,501166620417;-58,4818529459899;14086
700894;-34,5005553582349;-58,4805357947993;14086
700895;-34,500471818584;-58,4803413420173;14086
700896;-34,4992084376129;-58,4774949355438;14086
700897;-34,4991762961399;-58,477242128697;14086
700898;-34,499278024;-58,4773652709999;14086
700899;-34,4992866439999;-58,477375707;14086
700900;-34,499363976;-58,4774113989999;14086
700901;-34,49944131;-58,4774530399999;14086
700902;-34,4995126929999;-58,477482783;14086
700903;-34,4995627602941;-58,4774782312191;14086
700904;-34,4995752905022;-58,477457674528;14086
700170;-34,4900795970892;-58,4803523205503;14087
700171;-34,4900515016583;-58,4803372808742;14087
700172;-34,4897095914193;-58,4794687090754;14087
700173;-34,4897719714241;-58,4794271867006;14087
700174;-34,489761072;-58,479399566;14087
700175;-34,489797353;-58,479367316;14087
700176;-34,4898259079999;-58,4793244859999;14087
700177;-34,489883015;-58,479267379;14087
700178;-34,4899448809999;-58,4792340669999;14087
700179;-34,490011505;-58,479205513;14087
