id_ciudadano_incidente;id_adjunto_archivo
5485616;1566620
5485933;1566753
5496794;1573041
5496794;1573042
5496854;1573052
5503141;1575752
5503183;1575770
5504020;1576086
5504176;1576185
5504193;1576190
5523051;1583529
5523051;1583530
5524696;1584243
5524720;1584278
5525542;1584813
5525542;1584814
5525546;1584816
5525553;1584819
5525553;1584820
5530129;1587853
5530231;1587885
5530343;1587921
5530343;1587922
5530584;1588021
5531233;1588229
5531411;1588309
5531411;1588310
5531480;1588339
5531578;1588395
5531578;1588396
5531661;1588427
5531661;1588428
5531720;1588454
5533514;1589094
5536012;1590515
5536012;1590516
5539396;1591729
5539420;1591739
5539572;1591798
5539572;1591799
5539915;1591950
5539915;1591951
5539945;1591964
5540010;1592044
5540010;1592045
5544156;1593725
5544156;1593726
5554675;1600399
5554675;1600400
5554777;1600437
5554777;1600438
5554823;1600461
5554823;1600462
5554841;1600475
5554841;1600476
5554885;1600522
5554885;1600524
5557763;1601789
5557763;1601790
5559380;1602536
5559380;1602537
5559396;1602542
5560175;1602851
5560333;1602939
5560333;1602940
5572226;1608231
5572226;1608232
5596185;1620054
5603289;1623353
5603289;1623354
5605406;1624896
5605406;1624897
5638508;1634655
5638508;1634656
5638518;1634660
5638518;1634661
5642406;1635355
5651835;1638226
5660489;1641058
5660489;1641059
5671089;1644247
5671089;1644248
5671128;1644274
5671128;1644275
5689400;1649742
5689431;1649763
5689540;1649814
5690417;1650181
5697213;1652341
5697264;1652356
5698385;1652853
5707495;1655631
5718566;1657857
5731285;1661463
5731288;1661469
5743398;1664418
5743849;1664618
5744222;1664722
5787599;1672589
5789305;1673203
5789357;1673229
5789357;1673230
5789431;1673253
5789431;1673254
5790370;1673523
5790419;1673537
5790574;1673624
5791353;1674116
5791353;1674117
5797233;1675836
5797233;1675837
5797395;1675917
5797395;1675918
5797413;1675923
5797413;1675924
5797432;1675943
5797689;1675990
5798108;1676221
5798108;1676222
5798403;1676482
5804484;1677107
5804529;1677118
5804635;1677142
5804663;1677149
5816470;1680549
5816472;1680550
5816583;1680574
5816632;1680583
5817472;1680895
5849617;1688427
5849617;1688428
5850027;1688516
5850315;1688639
5850323;1688640
5856122;1689738
5856145;1689749
5856298;1689838
5856298;1689839
5860426;1691097
5860426;1691098
5860826;1691233
5860826;1691234
5861163;1691456
5874650;1694274
5874650;1694275
5879401;1696079
5879411;1696089
5879428;1696097
5879430;1696101
5879433;1696102
5884895;1697073
5884895;1697074
5884966;1697092
5887195;1697769
5887224;1697773
5887224;1697774
5889254;1698508
5894230;1699166
5894341;1699216
5905166;1702378
5905166;1702379
5912880;1704217
5912907;1704228
5912987;1704266
5912987;1704267
5913030;1704280
5913030;1704281
5913080;1704304
5913080;1704305
5913136;1704335
5913136;1704336
5915451;1705310
5915451;1705311
5917337;1706109
5921396;1707044
5923490;1707941
5926724;1708562
5927359;1708778
5927359;1708779
5927360;1708780
5927360;1708781
5927378;1708787
5927517;1708806
5927755;1708860
5927755;1708861
5928061;1708950
5928553;1709136
5928553;1709137
5929001;1709316
5929001;1709317
5929516;1709433
5929516;1709434
5929777;1709518
5929787;1709527
5929872;1709589
5929881;1709595
5929909;1709618
5929909;1709619
5929978;1709651
5930254;1709925
5930261;1709928
5930331;1709953
5930384;1709968
5930807;1710184
5930807;1710185
5930820;1710191
5930892;1710226
5933217;1710704
5933519;1710794
5934981;1711330
5934981;1711331
5936074;1711783
5936074;1711784
5936201;1711878
5936201;1711879
5936301;1711936
5936623;1712180
5936623;1712181
5936648;1712189
5936702;1712240
5936949;1712448
5939833;1712569
5939833;1712570
5939889;1712588
5940023;1712725
5941107;1713182
5941614;1713396
5941614;1713397
5941632;1713398
5941632;1713399
5942298;1713627
5942298;1713628
5942670;1713809
5942670;1713810
5942690;1713816
5942690;1713817
5943083;1713931
5943083;1713932
5943142;1713948
5943142;1713949
5943184;1713962
5943218;1713967
5943218;1713968
5943583;1714071
5943583;1714072
5943961;1714201
5943961;1714202
5944080;1714336
5944103;1714385
5944103;1714386
5944115;1714406
5944115;1714407
5944334;1714613
5944334;1714614
5944386;1714676
5944386;1714677
5944606;1714817
5946955;1715123
5948545;1715579
5948853;1715678
5949712;1715915
5949738;1715935
5949738;1715936
5950335;1716162
5950708;1716277
5950708;1716278
5950759;1716303
5951082;1716432
5951129;1716498
5951145;1716520
5951145;1716521
5951145;1716522
5951179;1716547
5951179;1716548
5951245;1716577
5951245;1716578
5951377;1716640
5951575;1716715
5951575;1716716
5951658;1716791
5953992;1716863
5954038;1716906
5954055;1716925
5954055;1716926
5954115;1716971
5954141;1716981
5954159;1716989
5954159;1716990
5954170;1717012
5954172;1717015
5954257;1717089
5954282;1717102
