Date;Año;NroMes;Mes;NroTrimestre;Trimestre;Día
1900-06-01 00:00:00,000;1900;6;"junio";2;"Trim. 2";1
1900-06-02 00:00:00,000;1900;6;"junio";2;"Trim. 2";2
1900-06-03 00:00:00,000;1900;6;"junio";2;"Trim. 2";3
1900-06-04 00:00:00,000;1900;6;"junio";2;"Trim. 2";4
1900-06-05 00:00:00,000;1900;6;"junio";2;"Trim. 2";5
1900-06-06 00:00:00,000;1900;6;"junio";2;"Trim. 2";6
1900-06-07 00:00:00,000;1900;6;"junio";2;"Trim. 2";7
1900-06-08 00:00:00,000;1900;6;"junio";2;"Trim. 2";8
1900-06-09 00:00:00,000;1900;6;"junio";2;"Trim. 2";9
1900-06-10 00:00:00,000;1900;6;"junio";2;"Trim. 2";10
1900-06-11 00:00:00,000;1900;6;"junio";2;"Trim. 2";11
1900-06-12 00:00:00,000;1900;6;"junio";2;"Trim. 2";12
1900-06-13 00:00:00,000;1900;6;"junio";2;"Trim. 2";13
1900-06-14 00:00:00,000;1900;6;"junio";2;"Trim. 2";14
1900-06-15 00:00:00,000;1900;6;"junio";2;"Trim. 2";15
1900-06-16 00:00:00,000;1900;6;"junio";2;"Trim. 2";16
1900-06-17 00:00:00,000;1900;6;"junio";2;"Trim. 2";17
1900-06-18 00:00:00,000;1900;6;"junio";2;"Trim. 2";18
1900-06-19 00:00:00,000;1900;6;"junio";2;"Trim. 2";19
1900-06-20 00:00:00,000;1900;6;"junio";2;"Trim. 2";20
1900-06-21 00:00:00,000;1900;6;"junio";2;"Trim. 2";21
1900-06-22 00:00:00,000;1900;6;"junio";2;"Trim. 2";22
1900-06-23 00:00:00,000;1900;6;"junio";2;"Trim. 2";23
1900-06-24 00:00:00,000;1900;6;"junio";2;"Trim. 2";24
1900-06-25 00:00:00,000;1900;6;"junio";2;"Trim. 2";25
1900-06-26 00:00:00,000;1900;6;"junio";2;"Trim. 2";26
1900-06-27 00:00:00,000;1900;6;"junio";2;"Trim. 2";27
1900-06-28 00:00:00,000;1900;6;"junio";2;"Trim. 2";28
1900-06-29 00:00:00,000;1900;6;"junio";2;"Trim. 2";29
1900-06-30 00:00:00,000;1900;6;"junio";2;"Trim. 2";30
1900-07-01 00:00:00,000;1900;7;"julio";3;"Trim. 3";1
1900-07-02 00:00:00,000;1900;7;"julio";3;"Trim. 3";2
1900-07-03 00:00:00,000;1900;7;"julio";3;"Trim. 3";3
1900-07-04 00:00:00,000;1900;7;"julio";3;"Trim. 3";4
1900-07-05 00:00:00,000;1900;7;"julio";3;"Trim. 3";5
1900-07-06 00:00:00,000;1900;7;"julio";3;"Trim. 3";6
1900-07-07 00:00:00,000;1900;7;"julio";3;"Trim. 3";7
1900-07-08 00:00:00,000;1900;7;"julio";3;"Trim. 3";8
1900-07-09 00:00:00,000;1900;7;"julio";3;"Trim. 3";9
1900-07-10 00:00:00,000;1900;7;"julio";3;"Trim. 3";10
1900-07-11 00:00:00,000;1900;7;"julio";3;"Trim. 3";11
1900-07-12 00:00:00,000;1900;7;"julio";3;"Trim. 3";12
1900-07-13 00:00:00,000;1900;7;"julio";3;"Trim. 3";13
1900-07-14 00:00:00,000;1900;7;"julio";3;"Trim. 3";14
1900-07-15 00:00:00,000;1900;7;"julio";3;"Trim. 3";15
1900-07-16 00:00:00,000;1900;7;"julio";3;"Trim. 3";16
1900-07-17 00:00:00,000;1900;7;"julio";3;"Trim. 3";17
1900-07-18 00:00:00,000;1900;7;"julio";3;"Trim. 3";18
1900-07-19 00:00:00,000;1900;7;"julio";3;"Trim. 3";19
1900-07-20 00:00:00,000;1900;7;"julio";3;"Trim. 3";20
