id_ubicacionxzona;latitud;longitud;id_zona;id_geometria_zona
937623;-34,538026925333;-58,5126122703842;25267;
937624;-34,5383410391342;-58,5132028043304;25267;
937625;-34,5397859626197;-58,5161387213255;25267;
937626;-34,5409502777761;-58,5184799161904;25267;
937627;-34,5413146497854;-58,5192463538652;25267;
937628;-34,541716715451;-58,5200169797242;25267;
937629;-34,5421104047484;-58,5208420519753;25267;
937630;-34,5424873413099;-58,5215791723621;25267;
937631;-34,5433291662971;-58,5232502577844;25267;
937632;-34,5436851619384;-58,5239161790429;25267;
937633;-34,5445521160297;-58,5256752163295;25267;
937634;-34,5450372159718;-58,5265907570653;25267;
937635;-34,5436156206086;-58,527888856296;25267;
937636;-34,5436155813684;-58,5278888917486;25267;
937637;-34,5423870482841;-58,5289870991251;25267;
937638;-34,5423858329233;-58,5289883977135;25267;
937639;-34,5423848668383;-58,52898989107;25267;
937640;-34,5423841805908;-58,5289915319533;25267;
937641;-34,5423677940894;-58,5290432090593;25267;
937642;-34,5423676486898;-58,5290435451044;25267;
937643;-34,542367539704;-58,5290431955482;25267;
937644;-34,5423391600642;-58,5289038671734;25267;
937645;-34,5423383236375;-58,5289014273178;25267;
937646;-34,5416922699071;-58,5275960885493;25267;
937647;-34,5416921559778;-58,5275958416899;25267;
937648;-34,5416501065928;-58,5274978077259;25267;
937649;-34,5416491044073;-58,5274960090056;25267;
937650;-34,5416477550659;-58,5274944536766;25267;
937651;-34,5416461157777;-58,5274932076813;25267;
937652;-34,5416442560446;-58,527492323847;25267;
937653;-34,541642254715;-58,5274918396462;25267;
937654;-34,5416401966408;-58,527491775608;25267;
937655;-34,5416381690796;-58,5274921344474;25267;
937656;-34,5416362579952;-58,5274929009505;25267;
937657;-34,5390663438472;-58,5288458083564;25267;
937658;-34,5373293352271;-58,5297592212655;25267;
937659;-34,5373276244577;-58,5297603593917;25267;
937660;-34,5373261824239;-58,5297618231548;25267;
937661;-34,5373250700095;-58,5297635507535;25267;
937662;-34,5373243341812;-58,5297654692478;25267;
937663;-34,5373240060062;-58,5297674976374;25267;
937664;-34,5373240993402;-58,5297695502826;25267;
937665;-34,5373246102427;-58,5297715405193;25267;
937666;-34,5373255171429;-58,5297733843184;25267;
937667;-34,5381100826922;-58,531024679189;25267;
937668;-34,5381101433869;-58,5310247747834;25267;
937669;-34,5385601740743;-58,5317247849669;25267;
937670;-34,5385602098558;-58,5317248414507;25267;
937671;-34,5391115945832;-58,5326082561348;25267;
937672;-34,5395988051719;-58,5334055996057;25267;
937673;-34,5395990298998;-58,5334059507189;25267;
937674;-34,5396992653589;-58,5335555937835;25267;
937675;-34,5397006597327;-58,5335572533406;25267;
937676;-34,5403927633131;-58,5342195867907;25267;
937677;-34,5403929527181;-58,5342197634071;25267;
937678;-34,5414043182877;-58,5351386488803;25267;
937679;-34,5414044367611;-58,535138760088;25267;
